"ref_area.label","source.label","indicator.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",10.129,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 2 ~ medium","2020",2658.478,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 1 ~ low","2020",43.407,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",391.146,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 2 ~ medium","2020",2164.857,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 1 ~ low","2020",442.476,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",26.069,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 2 ~ medium","2020",774.454,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 1 ~ low","2020",281.314,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",363.843,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 2 ~ medium","2020",1384.961,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 1 ~ low","2020",159.93,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2017",1.146,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 2 ~ medium","2017",2632.179,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 1 ~ low","2017",104.239,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2017",387.957,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 2 ~ medium","2017",1966.22,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 1 ~ low","2017",898.952,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill levels 3 and 4 ~ high","2017",11.174,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 2 ~ medium","2017",600.531,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 1 ~ low","2017",500.693,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill levels 3 and 4 ~ high","2017",368.81,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 2 ~ medium","2017",1335.801,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 1 ~ low","2017",395.591,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2022",6.995,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 2 ~ medium","2022",6033.664,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 1 ~ low","2022",37.641,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2022",985.153,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 2 ~ medium","2022",3841.866,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 1 ~ low","2022",538.225,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill levels 3 and 4 ~ high","2022",86.164,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 2 ~ medium","2022",699.009,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 1 ~ low","2022",28.7,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill levels 3 and 4 ~ high","2022",898.99,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 2 ~ medium","2022",3142.856,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 1 ~ low","2022",509.525,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2021",6.843,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 2 ~ medium","2021",6147.847,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 1 ~ low","2021",50.48,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2021",825.839,"Unreliable",,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 2 ~ medium","2021",3274.485,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 1 ~ low","2021",487.17,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill levels 3 and 4 ~ high","2021",61.899,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 2 ~ medium","2021",541.859,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 1 ~ low","2021",21.693,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill levels 3 and 4 ~ high","2021",763.94,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 2 ~ medium","2021",2732.626,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 1 ~ low","2021",465.477,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2019",10.445,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 2 ~ medium","2019",5168.015,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 1 ~ low","2019",140.964,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2019",912.341,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 2 ~ medium","2019",3149.677,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 1 ~ low","2019",489.115,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill levels 3 and 4 ~ high","2019",80.589,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 2 ~ medium","2019",575.345,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 1 ~ low","2019",31.522,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill levels 3 and 4 ~ high","2019",826.246,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 2 ~ medium","2019",2557.486,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 1 ~ low","2019",457.593,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",1.891,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 2 ~ medium","2023",420.484,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 1 ~ low","2023",4.705,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",281.01,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 2 ~ medium","2023",537.098,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 1 ~ low","2023",73.434,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",40.462,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 2 ~ medium","2023",220.544,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 1 ~ low","2023",18.041,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill levels 3 and 4 ~ high","2023",240.548,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 2 ~ medium","2023",316.554,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 1 ~ low","2023",55.392,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2022",0.66,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 2 ~ medium","2022",427.347,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 1 ~ low","2022",12.195,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2022",264.656,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 2 ~ medium","2022",516.018,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 1 ~ low","2022",69.168,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill levels 3 and 4 ~ high","2022",36.545,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 2 ~ medium","2022",225.934,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 1 ~ low","2022",20.307,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill levels 3 and 4 ~ high","2022",228.11,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 2 ~ medium","2022",290.083,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 1 ~ low","2022",48.861,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2021",0.871,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 2 ~ medium","2021",418.18,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 1 ~ low","2021",2.108,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2021",234.738,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 2 ~ medium","2021",503.42,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 1 ~ low","2021",79.699,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill levels 3 and 4 ~ high","2021",31.405,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 2 ~ medium","2021",217.408,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 1 ~ low","2021",24.472,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill levels 3 and 4 ~ high","2021",203.333,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 2 ~ medium","2021",286.012,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 1 ~ low","2021",55.227,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",1.121,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 2 ~ medium","2020",445.236,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill level 1 ~ low","2020",1.112,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",235.39,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 2 ~ medium","2020",484.476,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Non-agriculture","Occupation (Skill level): Skill level 1 ~ low","2020",69.421,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",34.975,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 2 ~ medium","2020",196.496,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Industry","Occupation (Skill level): Skill level 1 ~ low","2020",22.978,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",200.415,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 2 ~ medium","2020",287.98,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Services","Occupation (Skill level): Skill level 1 ~ low","2020",46.442,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","Employment by economic activity and occupation (thousands)","Economic activity (Broad sector): Agriculture","Occupation (Skill level): Skill levels 3 and 4 ~ high","2019",0.709,,,,"Repository: ILO-STATISTICS - Micro data processing"
